"","outd","NoInt:0.75","CI_HQ_SD:0.75","PC_CI_SD:0.75","PC_CI_HQ_SD:0.75","NoInt:0.5","CI_HQ_SD:0.5","PC_CI_SD:0.5","PC_CI_HQ_SD:0.5","NoInt:0.25","CI_HQ_SD:0.25","PC_CI_SD:0.25","PC_CI_HQ_SD:0.25"
"131",130,360664.3,99269.5,39355.1,35573.2,360664.3,99269.5,39355.1,35573.2,360664.3,99269.5,39355.1,35573.2
"132",131,398880.1,100822.2,37973.8,33883.5,398880.1,100822.2,37973.8,33883.5,398880.1,100822.2,37973.8,33883.5
"133",132,438629.2,101560.3,36623.6,32254.3,438629.2,101560.3,36623.6,32254.3,438629.2,101560.3,36623.6,32254.3
"134",133,480115.8,101606.6,35330.7,30649.7,480115.8,101606.6,35330.7,30649.7,480115.8,101606.6,35330.7,30649.7
"135",134,523055.6,100883.7,34074.1,29156.5,523055.6,100883.7,34074.1,29156.5,523055.6,100883.7,34074.1,29156.5
"136",135,567608.3,99490.8,32834.5,27711.7,567608.3,99490.8,32834.5,27711.7,567608.3,99490.8,32834.5,27711.7
"137",136,613938.3,97320.9,31631.9,26343.7,613938.3,97320.9,31631.9,26343.7,613938.3,97320.9,31631.9,26343.7
"138",137,661548.5,94371.4,30440.7,25018.3,661548.5,94371.4,30440.7,25018.3,661548.5,94371.4,30440.7,25018.3
"139",138,710575,90832.2,29326.5,23726.8,710575,90832.2,29326.5,23726.8,710575,90832.2,29326.5,23726.8
"140",139,762085.9,86981.8,28271,22556.6,762085.9,86981.8,28271,22556.6,762085.9,86981.8,28271,22556.6
"141",140,817246,83079.9,27253.2,21442.4,817246,83079.9,27253.2,21442.4,817246,83079.9,27253.2,21442.4
"142",141,876001.9,79223.1,26215.9,20380,876001.9,79223.1,26215.9,20380,876001.9,79223.1,26215.9,20380
"143",142,938310.3,75468.9,25216.8,19361.4,938310.3,75468.9,25216.8,19361.4,938310.3,75468.9,25216.8,19361.4
"144",143,1006099.5,71987,24256,18410.9,1006099.5,71987,24256,18410.9,1006099.5,71987,24256,18410.9
"145",144,1080618.8,68919,23372.1,17464.5,1080618.8,68919,23372.1,17464.5,1080618.8,68919,23372.1,17464.5
"146",145,1163079.6,66236.4,22462.1,16611,1163079.6,66236.4,22462.1,16611,1163079.6,66236.4,22462.1,16611
"147",146,1253862.1,64012.6,21626,15769,1253862.1,64012.6,21626,15769,1253862.1,64012.6,21626,15769
"148",147,1353897.9,62190,20858.9,14983.8,1353897.9,62190,20858.9,14983.8,1353897.9,62190,20858.9,14983.8
